ID,Title,Brand,Model
1533,"Panasonic GF1 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Panasonic,Lumix DMC-GF1
1534,"Panasonic FS15 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FS15
1535,"Panasonic FS62 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FS62
1536,"Panasonic FX550 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FX550
1537,"Panasonic ZR1 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-ZR1
1538,"Panasonic FS7 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FS7
1539,"Panasonic FS12 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FS12
1540,"Panasonic FS42 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FS42
1541,"Panasonic FX40 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FX40
1542,"Panasonic FZ38 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FZ38
1543,"Panasonic FS6 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FS6
1544,"Panasonic LZ8 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LZ8
1545,"Panasonic FX150 comes with a  1/1.72"" (~ 7.44 x 5.58 mm) CCD sensor, which has a diagonal of  9.30 mm (0.37"") and a surface area of 41.52 mm².",Panasonic,Lumix DMC-FX150
1546,"Panasonic FX35 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FX35
1547,"Panasonic TZ4 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-TZ4
1548,"Panasonic LZ10 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-LZ10
1549,"Panasonic FX37 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FX37
1550,"Panasonic LS80 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LS80
1551,"Panasonic G1 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Panasonic,Lumix DMC-G1
1552,"Panasonic FS3 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FS3
1553,"Panasonic TZ50 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-TZ50
1554,"Panasonic LX3 comes with a  1/1.63"" (~ 7.85 x 5.89 mm) CCD sensor, which has a diagonal of  9.81 mm (0.39"") and a surface area of 46.24 mm².",Panasonic,Lumix DMC-LX3
1555,"Panasonic FS5 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FS5
1556,"Panasonic FX500 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FX500
1557,"Panasonic FZ28 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FZ28
1558,"Panasonic FS20 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-FS20
1559,"Panasonic TZ5 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-TZ5
1560,"Panasonic FX10 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX10
1561,"Panasonic FX33 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX33
1562,"Panasonic LS60 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LS60
1563,"Panasonic FX30 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX30
1564,"Panasonic FZ18 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FZ18
1565,"Panasonic LZ7 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LZ7
1566,"Panasonic TZ3 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Panasonic,Lumix DMC-TZ3
1567,"Panasonic FS2 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FS2
1568,"Panasonic FX100 comes with a  1/1.72"" (~ 7.44 x 5.58 mm) CCD sensor, which has a diagonal of  9.30 mm (0.37"") and a surface area of 41.52 mm².",Panasonic,Lumix DMC-FX100
1569,"Panasonic FX12 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX12
1570,"Panasonic FX55 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX55
1571,"Panasonic FZ8 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FZ8
1572,"Panasonic LS75 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LS75
1573,"Panasonic FX10 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX10
1574,"Panasonic FX33 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX33
1575,"Panasonic LS60 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LS60
1576,"Panasonic LZ3 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LZ3
1577,"Panasonic LX2 comes with a  1/1.65"" (~ 7.76 x 5.81 mm) CCD sensor, which has a diagonal of  9.69 mm (0.38"") and a surface area of 45.09 mm².",Panasonic,Lumix DMC-LX2
1578,"Panasonic TZ1 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-TZ1
1579,"Panasonic FX50 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX50
1580,"Panasonic LS3 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LS3
1581,"Panasonic FZ50 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Panasonic,Lumix DMC-FZ50
1582,"Panasonic FX01 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX01
1583,"Panasonic FX3 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX3
1584,"Panasonic LS2 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LS2
1585,"Panasonic L1 comes with a  Four Thirds (17.3 x 13 mm) CMOS sensor, which has a diagonal of  21.64 mm (0.85"") and a surface area of 224.90 mm².",Panasonic,Lumix DMC-L1
1586,"Panasonic FZ7 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FZ7
1587,"Panasonic LZ5 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LZ5
1588,"Panasonic FX07 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX07
1589,"Panasonic LX1 comes with a  1/1.65"" (~ 7.76 x 5.81 mm) CCD sensor, which has a diagonal of  9.69 mm (0.38"") and a surface area of 45.09 mm².",Panasonic,Lumix DMC-LX1
1590,"Panasonic LZ1 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LZ1
1591,"Panasonic FX8 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX8
1592,"Panasonic LS1 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LS1
1593,"Panasonic FZ30 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Panasonic,Lumix DMC-FZ30
1594,"Panasonic FZ4 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FZ4
1595,"Panasonic FX9 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX9
1596,"Panasonic LZ2 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LZ2
1597,"Panasonic LX1 comes with a  1/1.65"" (~ 7.76 x 5.81 mm) CCD sensor, which has a diagonal of  9.69 mm (0.38"") and a surface area of 45.09 mm².",Panasonic,Lumix DMC-LX1
1598,"Panasonic LC1 comes with a  2/3"" (~ 8.8 x 6.6 mm) CCD sensor, which has a diagonal of  11.00 mm (0.43"") and a surface area of 58.08 mm².",Panasonic,Lumix DMC-LC1
1599,"Panasonic FZ20 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FZ20
1600,"Panasonic LC80 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LC80
1601,"Panasonic FZ3 comes with a  1/3.2"" (~ 4.5 x 3.37 mm) CCD sensor, which has a diagonal of  5.62 mm (0.22"") and a surface area of 15.17 mm².",Panasonic,Lumix DMC-FZ3
1602,"Panasonic D-snap SV-AS3 comes with a  1/3.2"" (~ 4.5 x 3.37 mm) CCD sensor, which has a diagonal of  5.62 mm (0.22"") and a surface area of 15.17 mm².",Panasonic,D-snap SV-AS3
1603,"Panasonic FX2 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX2
1604,"Panasonic FX7 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX7
1605,"Panasonic D-snap SV-AS30 comes with a  1/3.2"" (~ 4.5 x 3.37 mm) CCD sensor, which has a diagonal of  5.62 mm (0.22"") and a surface area of 15.17 mm².",Panasonic,D-snap SV-AS30
1606,"Panasonic LC70 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LC70
1607,"Panasonic LC50 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LC50
1608,"Panasonic FZ15 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FZ15
1609,"Panasonic FZ2 comes with a  1/3.2"" (~ 4.5 x 3.37 mm) CCD sensor, which has a diagonal of  5.62 mm (0.22"") and a surface area of 15.17 mm².",Panasonic,Lumix DMC-FZ2
1610,"Panasonic D-snap SV-AS10 comes with a  1/3.2"" (~ 4.5 x 3.37 mm) CCD sensor, which has a diagonal of  5.62 mm (0.22"") and a surface area of 15.17 mm².",Panasonic,D-snap SV-AS10
1611,"Panasonic LC43 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LC43
1612,"Panasonic FX1 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX1
1613,"Panasonic LC33 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-LC33
1614,"Panasonic FX5 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FX5
1615,"Panasonic F1 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-F1
1616,"Panasonic FZ10 comes with a  1/2.5"" (~ 5.75 x 4.32 mm) CCD sensor, which has a diagonal of  7.19 mm (0.28"") and a surface area of 24.84 mm².",Panasonic,Lumix DMC-FZ10
1617,"Panasonic FZ1 comes with a  1/3.2"" (~ 4.5 x 3.37 mm) CCD sensor, which has a diagonal of  5.62 mm (0.22"") and a surface area of 15.17 mm².",Panasonic,Lumix DMC-FZ1
1618,"Panasonic LC20 comes with a  1/2.7"" (~ 5.33 x 4 mm) CCD sensor, which has a diagonal of  6.66 mm (0.26"") and a surface area of 21.32 mm².",Panasonic,Lumix DMC-LC20
1619,"Panasonic FZ1 comes with a  1/3.2"" (~ 4.5 x 3.37 mm) CCD sensor, which has a diagonal of  5.62 mm (0.22"") and a surface area of 15.17 mm².",Panasonic,Lumix DMC-FZ1
1620,"Panasonic LC5 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CCD sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Panasonic,Lumix DMC-LC5
1621,"Panasonic F7 comes with a  1/2.7"" (~ 5.33 x 4 mm) CCD sensor, which has a diagonal of  6.66 mm (0.26"") and a surface area of 21.32 mm².",Panasonic,Lumix DMC-F7
1622,"Panasonic PV DC3000 comes with a  1/1.8"" (~ 7.11 x 5.33 mm) CCD sensor, which has a diagonal of  8.89 mm (0.35"") and a surface area of 37.90 mm².",Panasonic,PV DC3000
1623,"Pentax K-3 Mark III comes with a  23.3 x 15.5 mm CMOS sensor, which has a diagonal of  27.98 mm (1.1"") and a surface area of 361.15 mm².",Pentax,K-3 Mark III
1624,"Pentax K-1 Mark II comes with a  35.9 x 24 mm CMOS sensor, which has a diagonal of  43.18 mm (1.7"") and a surface area of 861.60 mm².",Pentax,K-1 Mark II
1625,"Pentax KP comes with a  23.5 x 15.6 mm CMOS sensor, which has a diagonal of  28.21 mm (1.11"") and a surface area of 366.60 mm².",Pentax,KP
1626,"Pentax K-70 comes with a  23.5 x 15.6 mm CMOS sensor, which has a diagonal of  28.21 mm (1.11"") and a surface area of 366.60 mm².",Pentax,K-70
1627,"Pentax K-1 comes with a  35.9 x 24 mm CMOS sensor, which has a diagonal of  43.18 mm (1.7"") and a surface area of 861.60 mm².",Pentax,K-1
1628,"Pentax K-3 II comes with a  23.5 x 15.6 mm CMOS sensor, which has a diagonal of  28.21 mm (1.11"") and a surface area of 366.60 mm².",Pentax,K-3 II
1629,"Pentax K-S2 comes with a  23.5 x 15.6 mm CMOS sensor, which has a diagonal of  28.21 mm (1.11"") and a surface area of 366.60 mm².",Pentax,K-S2
1630,"Pentax K-S1 comes with a  23.5 x 15.6 mm CMOS sensor, which has a diagonal of  28.21 mm (1.11"") and a surface area of 366.60 mm².",Pentax,K-S1
1631,"Pentax Q-S1 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Pentax,Q-S1
1632,"Pentax XG-1 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CMOS sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,XG-1
1633,"Pentax 645Z comes with a  44 x 33 mm CMOS sensor, which has a diagonal of  55.00 mm (2.17"") and a surface area of 1452.00 mm².",Pentax,645Z
1634,"Pentax K-3 comes with a  23.5 x 15.6 mm CMOS sensor, which has a diagonal of  28.21 mm (1.11"") and a surface area of 366.60 mm².",Pentax,K-3
1635,"Pentax Q7 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Pentax,Q7
1636,"Pentax K-500 comes with a  23.7 x 15.7 mm CMOS sensor, which has a diagonal of  28.43 mm (1.12"") and a surface area of 372.09 mm².",Pentax,K-500
1637,"Pentax K-50 comes with a  23.7 x 15.7 mm CMOS sensor, which has a diagonal of  28.43 mm (1.12"") and a surface area of 372.09 mm².",Pentax,K-50
1638,"Pentax  WG-10 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio WG-10
1639,"Pentax  WG-3 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio WG-3
1640,"Pentax Efina comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Efina
1641,"Pentax MX-1 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Pentax,MX-1
1642,"Pentax Q10 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Q10
1643,"Pentax K-5 II comes with a  23.7 x 15.7 mm CMOS sensor, which has a diagonal of  28.43 mm (1.12"") and a surface area of 372.09 mm².",Pentax,K-5 II
1644,"Pentax X-5 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CMOS sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,X-5
1645,"Pentax  VS20 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,Optio VS20
1646,"Pentax K-30 comes with a  23.7 x 15.7 mm CMOS sensor, which has a diagonal of  28.43 mm (1.12"") and a surface area of 372.09 mm².",Pentax,K-30
1647,"Pentax  WG-2 GPS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio WG-2 GPS
1648,"Pentax  WG-2 GPS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio WG-2 GPS
1649,"Pentax  WG-2 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio WG-2
1650,"Pentax K-01 comes with a  23.7 x 15.7 mm CMOS sensor, which has a diagonal of  28.43 mm (1.12"") and a surface area of 372.09 mm².",Pentax,K-01
1651,"Pentax  WG-1 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio WG-1
1652,"Pentax  WG-1 GPS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio WG-1 GPS
1653,"Pentax Q comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Q
1654,"Pentax  RZ18 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,Optio RZ18
1655,"Pentax  RS1500 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,Optio RS1500
1656,"Pentax  S1 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio S1
1657,"Pentax  H90 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio H90
1658,"Pentax  RZ10 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,Optio RZ10
1659,"Pentax X90 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,X90
1660,"Pentax  RS1000 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio RS1000
1661,"Pentax  W90 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio W90
1662,"Pentax K-r comes with a  23.6 x 15.8 mm CMOS sensor, which has a diagonal of  28.40 mm (1.12"") and a surface area of 372.88 mm².",Pentax,K-r
1663,"Pentax 645D comes with a  44 x 33 mm CCD sensor, which has a diagonal of  55.00 mm (2.17"") and a surface area of 1452.00 mm².",Pentax,645D
1664,"Pentax  E90 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio E90
1665,"Pentax  LS1100 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,Optio LS1100
1666,"Pentax K-5 comes with a  23.6 x 15.7 mm CMOS sensor, which has a diagonal of  28.35 mm (1.12"") and a surface area of 370.52 mm².",Pentax,K-5
1667,"Pentax  I-10 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio I-10
1668,"Pentax  LS1000 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Pentax,Optio LS1000
1669,"Pentax  M90 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,Optio M90
1670,"Pentax  E75 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,Optio E75
1671,"Pentax  WS80 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,Optio WS80
1672,"Pentax X70 comes with a  1/2.33"" (~ 6.08 x 4.56 mm) CCD sensor, which has a diagonal of  7.60 mm (0.3"") and a surface area of 27.72 mm².",Pentax,X70
